pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed
47200304,11790750_130016693_JDF,Salt lake City,172,686,172,2024-03-16T06:59:18.000+00:00,2024-03-16T07:02:40.000+00:00,2024-03-16T06:59:18.000,2024-03-16T07:02:40.000,0,305,No,47200304_464049_1710572340000_1710572340000,457.0,4b9fea2b-d61f-4a3c-a369-f2f356149f23,220208758,0,A3,False,0,0,1,685,IMPRESSIONS,202,PRINTED,,172,SHEETS,Sticker Vinyl 6693,172.0,Yellow,171.0,ef053y0140oa8l,Cyan,172.0,ef013y9797xnxp,Magenta,171.0,ef033y5772mxa6,Black,172.0,ef073y6776o88f,,,,,,
60001071,11790601_130017262_1_JDF,Chicago,522,2088,522,2024-03-16T08:11:41.000+00:00,2024-03-16T08:19:41.000+00:00,2024-03-16T08:11:41.000,2024-03-16T08:19:41.000,0,750,No,60001071_10769405_1710577181000_1710577181000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220209210,0,B2,False,0,0,0,2088,IMPRESSIONS,480,PRINTED,,522,SHEETS,130017262     14pt C1S Gloss Cover,522.0,Yellow,522.0,EG00Y2Y417634.754LHK,Cyan,522.0,EGC3Y250634.750014,Magenta,522.0,EG00M2Y401434.75WIES,Black,522.0,EGK3Y729834.750179,,,,,,
60001071,11790661_130017262_2_JDF,Chicago,0,0,0,2024-03-16T08:20:21.000+00:00,2024-03-16T08:20:36.000+00:00,2024-03-16T08:20:21.000,2024-03-16T08:20:36.000,0,750,No,60001071_10769418_1710577236000_1710577236000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220209212,0,B2,False,0,0,0,0,IMPRESSIONS,15,ABORTED,,,,,,,,,,,,,,,,,,,,,,,
60001071,11790601_130017262_3_JDF,Chicago,69,279,69,2024-03-16T08:18:53.000+00:00,2024-03-16T08:20:42.000+00:00,2024-03-16T08:18:53.000,2024-03-16T08:20:42.000,0,750,No,60001071_10769427_1710577242000_1710577242000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220209213,0,B2,False,0,0,0,279,IMPRESSIONS,109,ABORTED,,69,SHEETS,130017262     14pt C1S Gloss Cover,69.0,Yellow,70.0,EG00Y2Y417634.754LHK,Cyan,70.0,EGC3Y250634.750014,Magenta,70.0,EG00M2Y401434.75WIES,Black,69.0,EGK3Y729834.750179,,,,,,
60001071,11790601_130017262_3_JDF,Chicago,33,132,33,2024-03-16T08:21:48.000+00:00,2024-03-16T08:22:29.000+00:00,2024-03-16T08:21:48.000,2024-03-16T08:22:29.000,0,750,No,60001071_10769427_1710577242000_1710577242000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220209215,0,B2,False,0,0,0,132,IMPRESSIONS,41,PRINTED,,33,SHEETS,130017262     14pt C1S Gloss Cover,33.0,Yellow,33.0,EG00Y2Y417634.754LHK,Cyan,33.0,EGC3Y250634.750014,Magenta,33.0,EG00M2Y401434.75WIES,Black,33.0,EGK3Y729834.750179,,,,,,
47200165,11790625_chp.pdf,Chicago,0,16,2,2024-03-16T08:07:22.000+00:00,2024-03-16T08:07:57.000+00:00,2024-03-16T08:07:22.000,2024-03-16T08:07:57.000,0,331,No,47200165_1762172_1710523816000_1710523816000,482.6,62773841-83fc-4251-aa11-864a43545e15,220210399,0,A3,True,0,0,0,16,IMPRESSIONS,35,PRINTED,,2,SHEETS,PSP-130015163 - 13pt Matte Cover Recycled,2.0,Yellow,4.0,EF053Y0123TTHC,Cyan,4.0,EF013Y9804J07I,Magenta,4.0,EF033Y6099DUO3,Black,4.0,EF073Y6833A6U1,,,,,,
47200304,01427204_mailed.pdf,Salt lake City,2,16,2,2024-03-16T07:22:32.000+00:00,2024-03-16T07:23:06.000+00:00,2024-03-16T07:22:32.000,2024-03-16T07:23:06.000,0,331,No,47200304_464090_1710573786000_1710573786000,482.5,4b9fea2b-d61f-4a3c-a369-f2f356149f23,220210796,0,A3,True,0,0,0,16,IMPRESSIONS,34,PRINTED,,2,SHEETS,13pt Matte 5163,2.0,Yellow,4.0,ef053y0140oa8l,Cyan,4.0,ef013y9797xnxp,Magenta,4.0,ef033y5772mxa6,Black,4.0,ef073y6776o88f,,,,,,
60001071,11790661_130017262_2_JDF,Chicago,262,1048,262,2024-03-16T08:22:01.000+00:00,2024-03-16T08:26:15.000+00:00,2024-03-16T08:22:01.000,2024-03-16T08:26:15.000,0,750,No,60001071_10769418_1710577236000_1710577236000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220211181,0,B2,False,0,0,0,1048,IMPRESSIONS,254,PRINTED,,262,SHEETS,130017262     14pt C1S Gloss Cover,262.0,Yellow,262.0,EG00Y2Y417634.754LHK,Cyan,262.0,EGC3Y250634.750014,Magenta,262.0,EG00M2Y401434.75WIES,Black,262.0,EGK3Y729834.750179,,,,,,
60001071,11790661_130017262_1_JDF,Chicago,252,1008,252,2024-03-16T08:25:46.000+00:00,2024-03-16T08:29:50.000+00:00,2024-03-16T08:25:46.000,2024-03-16T08:29:50.000,0,750,No,60001071_10769591_1710577790000_1710577790000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220211185,0,B2,False,0,0,0,1008,IMPRESSIONS,244,PRINTED,,252,SHEETS,130017262     14pt C1S Gloss Cover,252.0,Yellow,252.0,EG00Y2Y417634.754LHK,Cyan,252.0,EGC3Y250634.750014,Magenta,252.0,EG00M2Y401434.75WIES,Black,252.0,EGK3Y729834.750179,,,,,,
60001071,11790660_130017262_JDF,Chicago,116,466,116,2024-03-16T08:29:21.000+00:00,2024-03-16T08:31:25.000+00:00,2024-03-16T08:29:21.000,2024-03-16T08:31:25.000,0,750,No,60001071_10769612_1710577885000_1710577885000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220211186,0,B2,False,0,0,0,466,IMPRESSIONS,124,ABORTED,,116,SHEETS,130017262     14pt C1S Gloss Cover,116.0,Yellow,117.0,EG00Y2Y417634.754LHK,Cyan,116.0,EGC3Y250634.750014,Magenta,117.0,EG00M2Y401434.75WIES,Black,116.0,EGK3Y729834.750179,,,,,,
